Time (s),Voltage (V)
0.000776,-0.06
0.0007779999999999999,0.06
0.00078,-0.04
0.0007819999999999999,0.04
0.000784,-0.04
0.0007859999999999999,0.04
0.000788,0.06
0.00079,-0.06
0.000792,-0.06
0.000794,0.04
0.0007959999999999999,-0.06
0.000798,0.04
0.0007999999999999999,0.06
0.000802,-0.06
0.0008039999999999999,0.04
0.000806,-0.06
0.000808,0.04
0.00081,-0.06
0.000812,-0.06
0.0008139999999999999,0.04
0.000816,-0.06
0.0008179999999999999,0.06
0.00082,-0.06
0.0008219999999999999,0.06
0.000824,0.04
0.0008259999999999999,-0.04
0.000828,-0.04
0.00083,0.06
0.000832,-0.06
0.000834,0.04
0.0008359999999999999,0.04
0.000838,-0.06
0.0008399999999999999,-0.04
0.000842,0.06
0.0008439999999999999,-0.06
0.000846,0.06
0.000848,0.04
0.00085,-0.06
0.000852,0.06
0.0008539999999999999,-0.06
0.000856,0.04
0.0008579999999999999,-0.06
0.00086,-0.06
0.0008619999999999999,0.04
0.000864,-0.04
0.0008659999999999999,0.04
0.000868,0.04
0.00087,-0.06
0.0008719999999999999,-0.06
0.000874,0.06
0.0008759999999999999,-0.06
0.000878,0.04
0.0008799999999999999,0.06
0.000882,-0.06
0.0008839999999999999,-0.04
0.000886,0.06
0.000888,0.06
0.00089,-0.04
0.000892,-0.06
0.0008939999999999999,0.06
0.000896,-0.06
0.0008979999999999999,0.06
0.0009,0.04
0.0009019999999999999,-0.06
0.000904,0.04
0.000906,-0.06
0.000908,0.06
0.00091,-0.06
0.0009119999999999999,0.06
0.000914,-0.06
0.0009159999999999999,0.04
0.000918,-0.06
0.0009199999999999999,-0.06
0.000922,0.06
0.0009239999999999999,-0.04
0.000926,0.04
0.000928,-0.06
0.0009299999999999999,0.06
0.000932,0.04
0.0009339999999999999,-0.06
0.000936,-0.06
0.0009379999999999999,0.04
0.00094,-0.06
0.0009419999999999999,0.06
0.000944,0.06
0.000946,-0.06
0.000948,0.04
0.00095,-0.06
0.0009519999999999999,0.04
0.000954,-0.06
0.0009559999999999999,-0.06
0.000958,0.06
0.0009599999999999999,0.04
0.000962,-0.06
0.0009639999999999999,0.04
0.000966,-0.06
0.000968,-0.06
0.0009699999999999999,0.06
0.000972,-0.06
0.0009739999999999999,0.06
0.000976,0.04
0.000978,-0.06
0.00098,0.04
0.000982,-0.06
0.0009839999999999998,-0.06
0.000986,0.06
0.000988,0.04
0.00099,-0.06
0.000992,-0.06
0.0009939999999999999,0.06
0.000996,-0.06
0.000998,0.04
0.001,0.04
0.0010019999999999999,-0.06
0.001004,-0.06
0.001006,0.04
0.001008,0.06
0.00101,-0.06
0.0010119999999999999,0.04
0.001014,-0.06
0.001016,0.04
0.001018,-0.06
0.0010199999999999999,0.04
0.001022,-0.06
0.001024,-0.06
0.001026,0.06
0.001028,0.04
0.0010299999999999999,-0.06
0.001032,0.04
0.001034,-0.06
0.001036,0.06
0.0010379999999999999,-0.06
0.00104,-0.06
0.001042,0.04
0.001044,0.04
0.001046,-0.06
0.0010479999999999999,0.04
0.00105,-0.06
0.001052,0.04
0.001054,-0.06
0.0010559999999999999,-0.06
0.001058,0.04
0.00106,-0.06
0.001062,0.04
0.001064,-0.06
